ID,DATASET,curated_smiles,tSNE1,tSNE2
DiaNatDB-199,DiaNat-DB,O=S(=O)([O-])O[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,-21.678102,-39.073986
DiaNatDB-2,DiaNat-DB,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,24.863811,-19.279884
DiaNatDB-20,DiaNat-DB,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,85.45659,23.96874
DiaNatDB-200,DiaNat-DB,CC(=O)OC[C@]12[C@@H](OC(=O)c3ccccc3)C[C@@H]3[C@@H](OC(C)=O)[C@]1(OC3(C)C)[C@H](C)C[C@H](O)[C@@H]2OC(C)=O,29.344555,-18.15185
DiaNatDB-201,DiaNat-DB,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,30.911688,-36.46223
DiaNatDB-202,DiaNat-DB,C=CC[S+]([O-])CC(N)C(=O)O,8.844682,-33.99717
DiaNatDB-203,DiaNat-DB,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,9.972999,46.787395
DiaNatDB-204,DiaNat-DB,CC=C1CN2[C@H]3C[C@H]1C(CO)[C@@H]2Cc1c3[nH]c2ccc(O)cc12,-1.6768421,-13.513381
DiaNatDB-205,DiaNat-DB,CC(=O)OC1C(C)OC(OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)C(OC(C)=O)C1OC(=O)/C=C/c1ccccc1,33.342556,-13.997477
DiaNatDB-206,DiaNat-DB,COC(=O)C1=CO[C@@H](C)[C@H]2C[n+]3ccc4c([nH]c5ccccc54)c3C[C@H]12,18.120655,11.704046
DiaNatDB-207,DiaNat-DB,CC(C)(O)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@]14C,-25.326834,1.5620686
DiaNatDB-208,DiaNat-DB,COc1ccc2c(OC)c3ccoc3nc2c1OC,77.20043,-29.357439
DiaNatDB-209,DiaNat-DB,O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,57.012276,-3.742454
DiaNatDB-21,DiaNat-DB,COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,56.539448,38.33579
DiaNatDB-210,DiaNat-DB,C[S+]([O-])CC(N)C(=O)O,8.610142,-34.14639
DiaNatDB-211,DiaNat-DB,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,58.67812,23.821815
DiaNatDB-212,DiaNat-DB,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,-36.011383,23.73985
DiaNatDB-213,DiaNat-DB,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,-52.253517,-4.4332323
DiaNatDB-214,DiaNat-DB,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-51.77263,-42.562927
DiaNatDB-215,DiaNat-DB,O=C1OC(c2ccc(O)cc2)Cc2cccc(O)c21,-19.78281,37.529995
DiaNatDB-216,DiaNat-DB,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@H](C)C(=O)C[C@]3(C)CC[C@]12C,-7.682588,13.797968
DiaNatDB-217,DiaNat-DB,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)C5CC[C@]43C)[C@H]2[C@]1(C)O,-82.79786,7.907817
DiaNatDB-218,DiaNat-DB,CC1=CC(=O)C[C@H]2C1CC[C@@H](C)[C@]21C[C@H](c2ccoc2)OC1=O,-9.943037,13.143303
DiaNatDB-219,DiaNat-DB,C[n+]1cccc(C(=O)[O-])c1,6.4461255,1.248212
DiaNatDB-22,DiaNat-DB,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)C(O)[C@H]3O)c(O)c12,86.55144,20.252548
DiaNatDB-220,DiaNat-DB,CC1=C2CC[C@H]3[C@@](C)(CC[C@@]4(C)[C@@H]5C[C@@H](C)C(=O)[C@@H](O)[C@]5(C)CC[C@]34C)[C@@H]2C[C@H](O)C1=O,-18.086884,-27.67858
DiaNatDB-221,DiaNat-DB,O[C@H]1[C@H](O)[C@@H](O)CN2C[C@@H](O)[C@@H](O)[C@H]12,-5.957172,-17.859905
DiaNatDB-222,DiaNat-DB,O[C@H]1[C@H]2[C@H](O)[C@H](O)CN2[C@H](O)C[C@H]1O,-27.216578,-38.17645
DiaNatDB-223,DiaNat-DB,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,-77.06864,9.923086
DiaNatDB-224,DiaNat-DB,C=C[C@@]12COC(=O)C(=C)[C@@H]1[C@H]1OC(=O)C(=C)[C@@H]1[C@@H](OC(=O)C(=C)CO)C2,-52.811016,-27.497494
DiaNatDB-225,DiaNat-DB,C=C(C)C(=O)O[C@H]1C[C@@]23O[C@@H]2CC/C(=C/[C@H]2OC(=O)C(=C)[C@H]12)CO[C@@H]3O,-35.96155,-16.296417
DiaNatDB-226,DiaNat-DB,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,23.74619,12.027378
DiaNatDB-227,DiaNat-DB,O=C(OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,40.628784,3.557719
DiaNatDB-228,DiaNat-DB,O=C(O[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,37.96848,4.697754
DiaNatDB-229,DiaNat-DB,COc1cc([C@@H]2c3c(O)cc(O)cc3[C@@H]3[C@H]2CO[C@H]3c2ccc(O)c(O)c2)cc(OC)c1O,28.525349,51.76873
