ID,DATASET,curated_smiles,component1,component2
UNPD_subset_A_9761,UNPD-A,OC[C@H]1O[C@H](O[C@@H]2CCCCc3ccc(O)c(c3)-c3cc(ccc3O)CC2)[C@H](O)[C@@H](O)[C@@H]1O,-44.2703971862793,-60.53834533691406
UNPD_subset_A_9762,UNPD-A,OCC(CO)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,22.705352783203125,25.613176345825195
UNPD_subset_A_9763,UNPD-A,OC[C@@H]1O[C@](O)(CO)[C@H](O)[C@@H](O)[C@@H]1O,-12.021875381469727,23.06235122680664
UNPD_subset_A_9764,UNPD-A,Oc1cc(Br)c(COCc2c(Br)c(O)c(O)c(Br)c2Br)c(Br)c1O,-41.435462951660156,-22.675689697265625
UNPD_subset_A_9765,UNPD-A,OC[C@H]1O[C@H](c2ccccc2)O[C@@H]1[C@H]1O[C@@H](c2ccccc2)O[C@@H]1CO,-56.44654083251953,-24.33981704711914
UNPD_subset_A_9766,UNPD-A,Oc1cccc(CCc2ccc(Oc3cc(CCc4cccc(O)c4)cc(O)c3O)cc2)c1,39.2300910949707,16.939537048339844
UNPD_subset_A_9767,UNPD-A,N=C(N)NCCCCCN=C(N)N,16.00590705871582,44.78437805175781
UNPD_subset_A_9768,UNPD-A,NC[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@H](N)[C@@H]3O)[C@H](N)C[C@H]2N)[C@@H](N)C[C@@H]1O,-18.786531448364258,25.09847068786621
UNPD_subset_A_9769,UNPD-A,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OC[C@H]4O[C@H](O)[C@H](O)[C@@H](O)[C@@H]4O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,29.453218460083008,39.266082763671875
UNPD_subset_A_9770,UNPD-A,OCc1ccc(O)o1,16.22650909423828,7.570981502532959
